sector,land_type,total_area_hectares,affected_landowners_count,plots_count,current_stage,days_in_current_stage,env_forest_clearance_status,litigation_cases_count,public_objections_count,compensation_disparity_ratio,sia_completed,rr_plan_approved,risk_score,is_delayed,delay_stage
Irrigation,Agricultural,320.55,388,905,Survey & Demarcation,43,Approved,0,0,0.62,1,1,28.4,0,Compensation
Industrial,Agricultural,56.86,122,268,R&R Implementation,16,Approved,0,0,0.75,1,1,10.0,0,Compensation
Energy,Agricultural,59.73,131,325,Award & Compensation (Sec 23),236,Approved,0,2,0.84,1,1,30.7,0,Documentation/Survey
Energy,Agricultural,78.44,94,106,Hearing of Objections (Sec 15),26,Pending,1,2,0.9,1,0,31.6,0,Rehabilitation & Resettlement
Railways,Agricultural,94.42,214,509,Physical Possession,87,Pending,0,3,0.85,1,1,37.8,0,Approval
Railways,Forest,202.89,106,169,Hearing of Objections (Sec 15),28,Rejected,0,7,0.95,1,1,68.3,1,Approval
Railways,Forest,41.37,20,43,Preliminary Notification (Sec 11),58,Rejected,0,2,0.93,1,1,47.8,0,Approval
Railways,Agricultural,122.95,287,525,Survey & Demarcation,135,Approved,0,2,0.87,1,1,20.5,0,Documentation/Survey
Irrigation,Residential,117.19,431,483,Hearing of Objections (Sec 15),59,Pending,1,7,0.93,1,0,77.6,1,Rehabilitation & Resettlement
Industrial,Agricultural,9.03,16,21,Declaration of Acquisition (Sec 19),17,Approved,0,2,0.88,1,1,24.0,0,Compensation
Urban Infrastructure,Residential,62.49,274,664,R&R Implementation,42,Approved,0,2,0.81,1,1,19.4,0,Documentation/Survey
Industrial,Commercial,46.71,138,210,Hearing of Objections (Sec 15),96,Approved,2,4,0.78,1,1,34.3,0,Legal
Industrial,Forest,13.57,5,7,Declaration of Acquisition (Sec 19),40,Pending,0,6,0.76,1,1,70.9,1,Approval
Highways,Commercial,50.07,230,378,R&R Implementation,239,Approved,0,7,0.93,1,1,42.9,0,Possession
Irrigation,Residential,222.26,905,1686,R&R Implementation,121,Pending,2,3,0.94,1,1,59.6,1,Legal
Irrigation,Government/Barren,321.99,121,163,R&R Implementation,125,Approved,0,1,1.04,1,1,7.6,0,Possession
Industrial,Agricultural,59.85,166,411,R&R Implementation,248,Pending,0,3,0.79,1,0,85.3,1,Rehabilitation & Resettlement
Irrigation,Agricultural,182.58,268,555,Physical Possession,122,Approved,4,1,0.8,1,1,55.1,1,Legal
Urban Infrastructure,Agricultural,50.29,133,283,Survey & Demarcation,193,Pending,0,3,0.98,0,1,39.1,0,Approval
Irrigation,Agricultural,376.7,552,1053,Declaration of Acquisition (Sec 19),96,Not Applicable,1,2,0.84,1,0,51.0,1,Rehabilitation & Resettlement
Urban Infrastructure,Government/Barren,76.69,20,36,R&R Implementation,131,Approved,0,2,0.98,1,1,5.0,0,Compensation
Industrial,Government/Barren,46.07,20,45,Hearing of Objections (Sec 15),21,Approved,2,5,0.89,1,1,44.8,0,Legal
Railways,Agricultural,226.48,476,1168,Physical Possession,198,Not Applicable,0,2,0.79,1,1,29.2,0,Compensation
Irrigation,Agricultural,166.21,415,559,Survey & Demarcation,266,Approved,0,9,0.95,1,1,42.2,0,Documentation/Survey
Irrigation,Agricultural,50.39,63,103,R&R Implementation,63,Approved,0,0,0.84,1,1,17.3,0,Compensation
Energy,Forest,30.01,10,11,Hearing of Objections (Sec 15),64,Rejected,0,3,0.81,1,1,53.7,1,Approval
Industrial,Agricultural,15.5,23,48,Preliminary Notification (Sec 11),45,Approved,0,2,0.84,1,1,9.6,0,Compensation
Industrial,Forest,70.27,28,59,R&R Implementation,16,Pending,2,1,0.81,1,1,70.9,1,Legal
Energy,Agricultural,20.2,35,79,Physical Possession,117,Pending,0,3,0.93,1,1,41.3,0,Approval
Railways,Agricultural,24.56,33,75,Award & Compensation (Sec 23),63,Pending,0,6,0.93,1,1,31.2,0,Approval
Railways,Residential,155.12,819,1602,Survey & Demarcation,272,Approved,0,4,0.92,1,1,22.6,0,Documentation/Survey
Highways,Agricultural,50.07,127,301,Physical Possession,37,Approved,1,0,0.89,1,1,33.9,0,Legal
Industrial,Agricultural,29.45,44,90,Award & Compensation (Sec 23),53,Approved,0,0,0.87,1,1,16.2,0,Compensation
Irrigation,Residential,211.37,775,1216,R&R Implementation,20,Approved,4,5,0.74,1,0,85.9,1,Legal
Energy,Forest,49.37,25,37,Preliminary Notification (Sec 11),37,Approved,0,3,0.92,0,1,34.4,0,Approval
Industrial,Commercial,42.15,126,271,Declaration of Acquisition (Sec 19),203,Pending,1,7,0.75,1,1,73.7,1,Approval
Industrial,Residential,52.05,212,438,Physical Possession,56,Approved,2,2,1.02,1,0,35.1,0,Legal
Urban Infrastructure,Agricultural,46.91,61,127,R&R Implementation,22,Approved,0,2,0.64,1,0,26.3,0,Compensation
Industrial,Commercial,38.9,156,318,Hearing of Objections (Sec 15),186,Pending,0,0,0.77,1,0,70.4,1,Approval
Industrial,Forest,40.54,15,31,Preliminary Notification (Sec 11),76,Pending,3,10,0.9,1,1,92.3,1,Legal
Urban Infrastructure,Agricultural,22.01,39,58,Hearing of Objections (Sec 15),117,Not Applicable,2,4,0.86,1,1,41.4,0,Legal
Urban Infrastructure,Agricultural,58.04,131,323,Award & Compensation (Sec 23),51,Approved,0,2,0.82,1,1,13.8,0,Compensation
Energy,Residential,47.39,282,484,Physical Possession,137,Pending,0,0,1.04,1,1,33.4,0,Approval
Railways,Agricultural,214.62,490,1195,Award & Compensation (Sec 23),30,Not Applicable,3,5,1.01,1,1,30.6,0,Legal
Irrigation,Residential,411.66,1539,3428,Declaration of Acquisition (Sec 19),84,Not Applicable,1,0,1.0,1,1,14.2,0,Legal
Urban Infrastructure,Agricultural,39.66,83,197,Award & Compensation (Sec 23),143,Approved,0,5,0.89,1,1,24.4,0,Possession
Urban Infrastructure,Agricultural,73.01,162,184,Declaration of Acquisition (Sec 19),264,Pending,0,2,0.88,1,1,64.7,1,Approval
Highways,Agricultural,221.4,313,415,Declaration of Acquisition (Sec 19),119,Approved,0,1,0.63,1,1,37.6,0,Documentation/Survey
Industrial,Residential,45.08,178,231,Survey & Demarcation,47,Approved,1,1,0.95,0,0,23.3,0,Rehabilitation & Resettlement
Highways,Agricultural,42.39,59,66,Survey & Demarcation,93,Approved,0,2,0.82,0,0,22.9,0,Approval
Irrigation,Residential,100.27,277,492,Physical Possession,199,Approved,3,2,0.88,1,0,82.5,1,Legal
Industrial,Agricultural,15.92,38,56,Survey & Demarcation,50,Approved,0,2,1.0,1,1,5.0,0,Documentation/Survey
Industrial,Forest,49.2,18,43,R&R Implementation,75,Pending,0,6,0.91,1,1,38.4,0,Approval
Highways,Agricultural,156.09,265,653,Declaration of Acquisition (Sec 19),31,Approved,2,3,0.7,1,1,49.6,0,Legal
Highways,Residential,30.21,187,294,Preliminary Notification (Sec 11),286,Approved,0,4,0.97,1,0,36.1,0,Rehabilitation & Resettlement
Irrigation,Forest,395.6,108,156,Preliminary Notification (Sec 11),60,Pending,0,5,0.9,1,1,34.8,0,Approval
Railways,Agricultural,130.21,210,332,Declaration of Acquisition (Sec 19),17,Not Applicable,3,0,0.6,1,0,78.4,1,Legal
Irrigation,Forest,305.98,121,226,Survey & Demarcation,325,Pending,0,7,0.82,1,1,85.9,1,Compensation
Industrial,Agricultural,37.11,103,172,Survey & Demarcation,17,Approved,4,3,0.73,0,0,76.9,1,Legal
Highways,Residential,20.23,77,146,Award & Compensation (Sec 23),75,Approved,0,2,0.88,1,1,10.5,0,Compensation
Highways,Agricultural,109.48,170,363,Award & Compensation (Sec 23),93,Approved,0,4,0.69,1,1,41.1,0,Compensation
Irrigation,Agricultural,253.95,614,830,Award & Compensation (Sec 23),21,Approved,0,2,0.72,1,1,31.5,0,Compensation
Railways,Agricultural,194.9,497,832,R&R Implementation,59,Not Applicable,0,6,0.72,1,0,51.9,1,Compensation
Highways,Agricultural,47.06,75,166,Hearing of Objections (Sec 15),73,Pending,0,2,0.8,1,1,33.2,0,Approval
Highways,Forest,151.4,73,133,Physical Possession,39,Pending,1,4,0.79,1,1,67.5,1,Approval
Energy,Agricultural,33.1,89,137,Award & Compensation (Sec 23),50,Approved,0,0,0.68,1,1,28.9,0,Compensation
Railways,Government/Barren,16.85,9,21,Declaration of Acquisition (Sec 19),80,Not Applicable,0,0,0.91,1,1,5.0,0,Compensation
Industrial,Agricultural,29.95,56,133,Physical Possession,23,Approved,1,2,0.61,1,1,40.5,0,Compensation
Energy,Agricultural,23.72,55,119,Preliminary Notification (Sec 11),90,Pending,2,1,0.91,1,1,40.9,0,Legal
Energy,Agricultural,74.23,165,326,Survey & Demarcation,31,Not Applicable,0,3,0.91,1,0,9.8,0,Rehabilitation & Resettlement
Highways,Agricultural,59.78,154,338,Preliminary Notification (Sec 11),262,Approved,0,3,0.88,1,0,58.9,1,Rehabilitation & Resettlement
Irrigation,Agricultural,109.94,188,389,Declaration of Acquisition (Sec 19),127,Pending,0,2,0.84,1,1,42.8,0,Approval
Irrigation,Agricultural,352.07,496,1165,Declaration of Acquisition (Sec 19),160,Approved,2,7,0.85,1,1,69.9,1,Legal
Urban Infrastructure,Government/Barren,72.71,23,52,Hearing of Objections (Sec 15),20,Not Applicable,0,0,0.66,1,1,30.1,0,Compensation
Highways,Agricultural,146.8,283,355,R&R Implementation,40,Pending,0,4,0.64,1,1,54.9,1,Approval
Highways,Agricultural,174.07,456,518,Declaration of Acquisition (Sec 19),155,Pending,0,8,0.99,1,1,59.5,1,Approval
Industrial,Government/Barren,47.69,14,16,Physical Possession,117,Pending,0,1,0.73,1,1,59.1,1,Approval
Industrial,Agricultural,41.81,79,176,Hearing of Objections (Sec 15),41,Approved,0,6,0.87,1,1,24.2,0,Compensation
Urban Infrastructure,Government/Barren,21.82,10,13,R&R Implementation,410,Approved,0,1,0.72,1,1,44.0,0,Compensation
Energy,Agricultural,35.98,69,145,Declaration of Acquisition (Sec 19),18,Not Applicable,0,2,0.62,1,0,21.3,0,Compensation
Railways,Agricultural,190.55,412,955,Survey & Demarcation,196,Approved,3,6,0.73,1,1,98.0,1,Legal
Industrial,Residential,27.7,87,97,Physical Possession,102,Approved,2,0,0.71,1,1,62.5,1,Legal
Irrigation,Forest,252.28,80,121,Physical Possession,128,Approved,0,4,0.73,1,1,52.9,1,Compensation
Industrial,Government/Barren,41.59,19,34,Physical Possession,188,Approved,0,5,0.89,1,1,34.1,0,Possession
Industrial,Agricultural,67.48,153,325,Declaration of Acquisition (Sec 19),95,Pending,0,2,0.93,1,0,61.8,1,Approval
Highways,Agricultural,98.91,143,323,Hearing of Objections (Sec 15),31,Not Applicable,2,5,0.95,1,0,41.1,0,Legal
Industrial,Agricultural,64.92,177,381,Declaration of Acquisition (Sec 19),39,Not Applicable,0,1,0.95,1,1,5.0,0,Documentation/Survey
Urban Infrastructure,Agricultural,14.22,21,51,Preliminary Notification (Sec 11),81,Pending,2,1,0.96,1,1,46.5,0,Legal
Irrigation,Government/Barren,407.57,145,165,Award & Compensation (Sec 23),40,Approved,2,0,0.9,1,1,21.5,0,Legal
Urban Infrastructure,Agricultural,57.56,149,314,R&R Implementation,31,Approved,0,2,0.89,1,1,10.0,0,Documentation/Survey
Energy,Agricultural,58.92,153,279,R&R Implementation,18,Approved,4,3,0.87,1,1,45.3,0,Legal
Industrial,Government/Barren,27.35,13,22,Declaration of Acquisition (Sec 19),43,Not Applicable,0,2,0.84,1,1,9.4,0,Compensation
Railways,Commercial,121.76,392,664,Hearing of Objections (Sec 15),20,Approved,2,3,0.91,1,1,16.0,0,Legal
Irrigation,Residential,420.72,1354,1730,Declaration of Acquisition (Sec 19),78,Pending,0,2,0.73,1,1,58.5,1,Approval
Urban Infrastructure,Agricultural,7.1,10,21,Declaration of Acquisition (Sec 19),29,Approved,0,1,0.77,1,1,12.0,0,Compensation
Industrial,Commercial,62.15,280,488,Preliminary Notification (Sec 11),403,Approved,1,1,0.67,1,0,83.1,1,Rehabilitation & Resettlement
Industrial,Agricultural,14.28,29,39,R&R Implementation,287,Pending,0,6,0.86,1,1,73.1,1,Approval
Irrigation,Agricultural,323.08,595,691,Award & Compensation (Sec 23),17,Not Applicable,2,4,0.87,1,0,57.4,1,Legal
Urban Infrastructure,Agricultural,9.39,17,26,R&R Implementation,197,Approved,0,0,0.64,1,1,48.4,0,Compensation
Industrial,Agricultural,25.19,69,141,Survey & Demarcation,32,Approved,0,1,0.72,1,0,25.1,0,Compensation
Energy,Agricultural,5.04,13,23,Preliminary Notification (Sec 11),121,Approved,0,1,1.0,0,1,23.2,0,Approval
Energy,Government/Barren,71.29,38,75,Hearing of Objections (Sec 15),178,Not Applicable,0,6,0.95,1,1,31.5,0,Possession
Irrigation,Commercial,86.52,506,1017,Award & Compensation (Sec 23),255,Approved,0,1,0.77,1,0,58.4,1,Rehabilitation & Resettlement
Railways,Residential,81.07,487,779,Physical Possession,120,Approved,0,5,0.89,1,1,22.1,0,Documentation/Survey
Energy,Agricultural,47.43,108,204,R&R Implementation,111,Approved,1,8,0.87,1,0,69.7,1,Rehabilitation & Resettlement
Irrigation,Agricultural,338.43,916,1074,Declaration of Acquisition (Sec 19),114,Not Applicable,5,1,0.73,1,1,82.7,1,Legal
Industrial,Agricultural,36.79,48,69,R&R Implementation,85,Approved,0,0,0.91,1,1,5.0,0,Rehabilitation & Resettlement
Railways,Government/Barren,155.99,59,72,Physical Possession,15,Approved,1,0,0.75,1,1,32.5,0,Legal
Energy,Commercial,69.84,386,761,Preliminary Notification (Sec 11),60,Approved,2,3,0.82,0,1,55.3,1,Legal
Energy,Agricultural,24.22,45,95,Award & Compensation (Sec 23),98,Approved,3,0,0.72,1,1,69.3,1,Legal
Railways,Agricultural,207.51,434,510,Award & Compensation (Sec 23),194,Approved,0,2,0.87,1,1,31.3,0,Documentation/Survey
Highways,Forest,228.98,91,217,Physical Possession,52,Approved,0,6,0.67,1,1,47.4,0,Compensation
Industrial,Forest,31.99,17,23,Physical Possession,128,Pending,1,1,0.83,1,1,76.5,1,Approval
Railways,Agricultural,101.87,182,243,Preliminary Notification (Sec 11),108,Approved,0,3,0.95,0,0,34.5,0,Rehabilitation & Resettlement
Energy,Agricultural,29.58,38,84,Preliminary Notification (Sec 11),260,Not Applicable,0,1,0.77,0,1,45.4,0,Compensation
Urban Infrastructure,Forest,58.67,23,33,Declaration of Acquisition (Sec 19),53,Pending,0,2,0.76,1,1,55.0,1,Approval
Urban Infrastructure,Agricultural,39.89,87,147,Survey & Demarcation,45,Approved,0,1,0.8,0,1,9.8,0,Documentation/Survey
Highways,Agricultural,143.32,248,507,Survey & Demarcation,48,Approved,0,1,0.89,1,1,13.4,0,Documentation/Survey
Highways,Forest,247.48,134,309,Award & Compensation (Sec 23),161,Pending,0,5,0.75,1,0,85.6,1,Rehabilitation & Resettlement
Energy,Agricultural,48.31,67,162,Preliminary Notification (Sec 11),26,Approved,0,1,0.68,1,0,22.5,0,Compensation
Energy,Forest,78.51,23,37,Declaration of Acquisition (Sec 19),32,Pending,1,4,0.98,1,1,44.6,0,Approval
Industrial,Forest,9.31,3,4,Declaration of Acquisition (Sec 19),311,Approved,0,3,0.72,1,1,60.3,1,Compensation
Energy,Residential,25.66,69,89,Declaration of Acquisition (Sec 19),105,Approved,4,2,0.8,1,0,60.5,1,Legal
Railways,Agricultural,226.49,537,934,Preliminary Notification (Sec 11),36,Not Applicable,4,4,0.9,1,1,32.1,0,Legal
Urban Infrastructure,Agricultural,42.83,104,174,Survey & Demarcation,114,Approved,0,5,0.59,1,1,47.8,0,Compensation
Irrigation,Forest,87.15,39,81,Survey & Demarcation,36,Pending,0,1,0.71,0,1,67.7,1,Approval
Energy,Agricultural,8.58,19,34,R&R Implementation,107,Pending,0,4,0.85,1,1,53.5,1,Approval
Railways,Residential,66.83,392,868,Survey & Demarcation,76,Not Applicable,1,6,0.87,0,0,47.6,0,Rehabilitation & Resettlement
Irrigation,Agricultural,79.71,199,399,Preliminary Notification (Sec 11),24,Approved,2,1,0.78,1,0,52.9,1,Legal
Industrial,Agricultural,52.65,137,211,Preliminary Notification (Sec 11),217,Not Applicable,0,2,0.84,0,0,65.1,1,Rehabilitation & Resettlement
Railways,Agricultural,165.88,262,554,Preliminary Notification (Sec 11),34,Not Applicable,1,0,0.69,1,1,37.4,0,Legal
Industrial,Government/Barren,56.55,26,50,Physical Possession,54,Approved,0,0,0.83,1,1,15.7,0,Compensation
Urban Infrastructure,Agricultural,77.58,118,272,Declaration of Acquisition (Sec 19),21,Approved,0,1,0.74,1,1,33.7,0,Compensation
Energy,Forest,59.5,19,33,Award & Compensation (Sec 23),80,Pending,0,2,0.7,1,1,56.0,1,Approval
Industrial,Government/Barren,35.66,9,21,Survey & Demarcation,84,Approved,0,7,0.82,1,1,31.5,0,Compensation
Industrial,Residential,57.31,287,420,Survey & Demarcation,88,Approved,0,3,0.77,1,1,5.0,0,Documentation/Survey
Energy,Residential,48.96,261,562,Declaration of Acquisition (Sec 19),299,Not Applicable,0,3,0.94,1,0,30.5,0,Rehabilitation & Resettlement
Urban Infrastructure,Residential,18.23,61,78,Preliminary Notification (Sec 11),24,Approved,2,5,0.94,1,0,34.1,0,Legal
Highways,Agricultural,21.97,34,60,Hearing of Objections (Sec 15),455,Pending,4,2,0.8,1,1,89.9,1,Legal
Urban Infrastructure,Commercial,54.88,222,261,Hearing of Objections (Sec 15),172,Approved,2,3,0.75,1,1,49.8,0,Legal
Irrigation,Residential,493.78,3035,6791,Survey & Demarcation,263,Approved,2,7,0.92,1,1,56.5,1,Legal
Highways,Residential,157.69,829,1921,Hearing of Objections (Sec 15),255,Not Applicable,0,0,0.79,1,1,34.7,0,Documentation/Survey
Highways,Agricultural,21.87,58,90,R&R Implementation,26,Approved,0,2,0.96,1,1,5.0,0,Compensation
Industrial,Agricultural,60.72,143,288,R&R Implementation,168,Pending,0,0,0.93,1,1,32.9,0,Approval
Energy,Agricultural,78.49,134,215,Declaration of Acquisition (Sec 19),58,Pending,0,2,1.06,1,1,21.5,0,Approval
Industrial,Agricultural,28.17,78,99,Hearing of Objections (Sec 15),204,Not Applicable,0,0,0.87,1,1,34.0,0,Compensation
Irrigation,Agricultural,346.66,886,2203,Physical Possession,197,Approved,3,3,0.88,1,1,74.9,1,Legal
Industrial,Agricultural,17.28,24,49,R&R Implementation,349,Approved,2,6,1.07,1,1,59.8,1,Legal
Railways,Government/Barren,245.37,109,210,Survey & Demarcation,60,Not Applicable,0,0,0.79,0,1,13.8,0,Documentation/Survey
Irrigation,Agricultural,250.3,305,385,R&R Implementation,29,Approved,0,0,0.61,1,1,30.4,0,Compensation
Energy,Agricultural,57.56,105,235,Physical Possession,56,Pending,0,1,0.82,1,0,61.2,1,Approval
Urban Infrastructure,Agricultural,48.13,108,132,Preliminary Notification (Sec 11),28,Approved,0,6,0.81,1,1,27.3,0,Compensation
Energy,Agricultural,54.7,69,79,Survey & Demarcation,25,Approved,0,4,0.7,1,1,34.0,0,Compensation
Industrial,Agricultural,15.74,24,47,R&R Implementation,20,Approved,0,2,0.69,1,1,33.3,0,Compensation
Highways,Agricultural,100.26,173,256,Survey & Demarcation,151,Not Applicable,1,4,0.85,1,0,52.7,1,Rehabilitation & Resettlement
Urban Infrastructure,Forest,12.43,3,4,Award & Compensation (Sec 23),28,Approved,0,2,0.86,1,1,27.5,0,Compensation
Railways,Residential,181.09,608,1508,Declaration of Acquisition (Sec 19),47,Pending,0,4,0.67,1,1,54.2,1,Approval
Highways,Agricultural,34.88,57,136,Survey & Demarcation,100,Not Applicable,2,2,0.85,1,1,45.4,0,Legal
Railways,Government/Barren,238.45,120,279,R&R Implementation,64,Approved,0,0,0.87,1,1,9.2,0,Compensation
Industrial,Agricultural,68.81,177,266,Award & Compensation (Sec 23),27,Approved,0,4,0.68,1,1,37.2,0,Compensation
Highways,Agricultural,58.75,103,127,R&R Implementation,173,Approved,2,0,1.05,1,1,25.7,0,Legal
Industrial,Commercial,15.49,83,91,Preliminary Notification (Sec 11),63,Not Applicable,0,1,0.81,0,1,41.0,0,Approval
Irrigation,Forest,429.38,156,195,R&R Implementation,42,Pending,1,2,0.92,1,1,44.0,0,Approval
Railways,Residential,73.62,401,926,Preliminary Notification (Sec 11),39,Not Applicable,4,0,0.97,1,0,57.3,1,Legal
Highways,Residential,218.12,887,1627,Survey & Demarcation,86,Pending,0,4,0.84,0,1,32.4,0,Approval
Industrial,Residential,26.4,97,189,Preliminary Notification (Sec 11),50,Approved,2,1,1.03,1,0,23.7,0,Legal
Highways,Agricultural,156.43,197,483,R&R Implementation,60,Not Applicable,0,8,0.89,1,1,29.3,0,Documentation/Survey
Energy,Government/Barren,38.64,18,42,Hearing of Objections (Sec 15),180,Approved,0,2,0.96,1,1,21.4,0,Compensation
Irrigation,Commercial,303.12,1244,2425,Declaration of Acquisition (Sec 19),18,Approved,4,3,0.86,1,1,54.0,1,Legal
Industrial,Agricultural,74.54,121,267,Hearing of Objections (Sec 15),29,Pending,3,2,0.68,1,1,89.9,1,Legal
Urban Infrastructure,Agricultural,18.26,50,92,Hearing of Objections (Sec 15),22,Not Applicable,0,0,0.85,1,1,11.4,0,Rehabilitation & Resettlement
Industrial,Residential,16.13,71,127,Hearing of Objections (Sec 15),128,Approved,0,1,0.95,1,1,12.1,0,Possession
Industrial,Forest,61.28,14,17,R&R Implementation,16,Pending,3,4,1.01,1,1,64.1,1,Legal
Industrial,Agricultural,41.03,86,148,Preliminary Notification (Sec 11),24,Approved,0,3,0.64,1,0,26.3,0,Rehabilitation & Resettlement
Industrial,Agricultural,33.86,88,198,R&R Implementation,22,Approved,3,2,0.76,1,1,54.7,1,Legal
Industrial,Agricultural,56.54,124,186,R&R Implementation,100,Not Applicable,0,1,1.09,1,1,6.9,0,Possession
Urban Infrastructure,Agricultural,79.61,118,193,Hearing of Objections (Sec 15),149,Approved,0,1,0.97,1,1,13.5,0,Compensation
Industrial,Agricultural,63.24,157,220,Award & Compensation (Sec 23),107,Approved,0,3,0.93,1,1,5.0,0,Possession
Irrigation,Agricultural,151.06,361,456,Physical Possession,46,Pending,5,2,1.01,1,0,84.5,1,Legal
Railways,Forest,190.81,88,133,Preliminary Notification (Sec 11),27,Pending,0,2,0.65,0,1,68.2,1,Approval
Railways,Agricultural,137.55,380,484,Survey & Demarcation,52,Approved,0,4,0.73,1,1,33.6,0,Compensation
Railways,Agricultural,33.29,72,164,Survey & Demarcation,100,Approved,0,0,0.85,1,0,28.7,0,Documentation/Survey
Energy,Agricultural,34.3,60,76,Physical Possession,272,Pending,0,2,0.85,1,1,55.5,1,Approval
Industrial,Agricultural,65.56,147,319,Preliminary Notification (Sec 11),39,Approved,0,2,0.77,0,0,38.5,0,Rehabilitation & Resettlement
Railways,Forest,37.89,9,19,Declaration of Acquisition (Sec 19),26,Pending,0,0,0.94,1,1,27.7,0,Approval
Irrigation,Residential,472.92,2931,5227,Preliminary Notification (Sec 11),34,Approved,2,10,0.88,1,0,80.5,1,Legal
Railways,Residential,16.87,97,146,Award & Compensation (Sec 23),32,Approved,3,2,0.96,1,1,37.6,0,Legal
Railways,Agricultural,89.56,250,445,Survey & Demarcation,168,Pending,1,6,0.66,1,0,98.0,1,Compensation
Industrial,Agricultural,52.68,70,83,Hearing of Objections (Sec 15),120,Approved,0,1,0.91,1,1,6.1,0,Compensation
Industrial,Commercial,37.76,226,429,R&R Implementation,200,Not Applicable,2,0,0.66,1,1,69.6,1,Legal
Industrial,Agricultural,59.17,164,396,Award & Compensation (Sec 23),70,Not Applicable,0,0,0.77,1,1,5.8,0,Documentation/Survey
Urban Infrastructure,Commercial,27.65,105,235,Survey & Demarcation,40,Approved,2,1,0.8,1,0,58.4,1,Legal
Irrigation,Residential,329.17,1985,4565,R&R Implementation,61,Not Applicable,0,5,0.89,1,1,18.7,0,Documentation/Survey
Railways,Commercial,104.55,355,623,Award & Compensation (Sec 23),54,Approved,0,1,0.87,1,1,10.1,0,Documentation/Survey
Irrigation,Agricultural,119.02,214,480,Survey & Demarcation,152,Not Applicable,1,3,1.02,0,1,20.8,0,Legal
Railways,Agricultural,136.56,259,321,Hearing of Objections (Sec 15),300,Not Applicable,1,4,0.87,1,1,44.6,0,Possession
Highways,Forest,189.45,53,91,Survey & Demarcation,68,Approved,0,6,0.75,1,1,43.1,0,Compensation
Irrigation,Government/Barren,98.18,32,75,Survey & Demarcation,101,Approved,0,0,0.75,1,1,24.1,0,Documentation/Survey
Urban Infrastructure,Forest,50.0,12,21,Award & Compensation (Sec 23),54,Pending,1,3,0.76,1,1,59.1,1,Approval
Railways,Government/Barren,181.4,81,142,Hearing of Objections (Sec 15),93,Not Applicable,0,0,0.65,1,0,38.8,0,Rehabilitation & Resettlement
Urban Infrastructure,Commercial,13.07,53,73,Award & Compensation (Sec 23),89,Approved,0,1,0.74,1,1,21.6,0,Compensation
Railways,Agricultural,65.57,117,152,Survey & Demarcation,89,Approved,3,2,0.69,1,1,58.1,1,Legal
Industrial,Agricultural,37.64,94,129,Physical Possession,171,Approved,0,2,0.8,1,0,19.3,0,Rehabilitation & Resettlement
Railways,Commercial,23.7,109,200,Declaration of Acquisition (Sec 19),51,Approved,4,1,0.81,1,0,63.2,1,Legal
Energy,Agricultural,8.59,10,12,Preliminary Notification (Sec 11),29,Approved,0,0,0.6,1,1,24.8,0,Compensation
Urban Infrastructure,Agricultural,64.37,116,241,Award & Compensation (Sec 23),50,Not Applicable,0,2,0.77,1,1,11.0,0,Compensation
Highways,Agricultural,182.17,321,728,Hearing of Objections (Sec 15),97,Approved,0,2,0.8,1,0,35.7,0,Rehabilitation & Resettlement
Irrigation,Residential,277.03,1659,2333,Physical Possession,134,Approved,0,2,0.94,1,1,6.9,0,Documentation/Survey
Irrigation,Residential,208.38,651,1217,Declaration of Acquisition (Sec 19),591,Approved,3,4,0.84,1,1,65.9,1,Legal
Energy,Agricultural,8.74,13,16,R&R Implementation,91,Approved,0,0,0.78,1,1,29.5,0,Compensation
Energy,Agricultural,12.07,24,49,Survey & Demarcation,94,Approved,0,0,0.87,1,1,27.8,0,Documentation/Survey
Highways,Forest,152.04,60,86,Declaration of Acquisition (Sec 19),33,Pending,0,2,0.95,1,1,28.2,0,Approval
Industrial,Agricultural,63.09,162,382,Award & Compensation (Sec 23),17,Approved,2,6,0.87,1,1,55.4,1,Legal
Industrial,Residential,79.05,462,621,Declaration of Acquisition (Sec 19),161,Not Applicable,2,3,0.92,1,1,34.3,0,Legal
Industrial,Agricultural,16.27,44,86,R&R Implementation,132,Pending,0,3,0.63,1,1,58.8,1,Approval
Industrial,Government/Barren,16.63,4,5,Award & Compensation (Sec 23),140,Not Applicable,2,0,0.73,1,1,69.8,1,Legal
Railways,Agricultural,145.26,244,297,Declaration of Acquisition (Sec 19),20,Approved,0,2,0.83,1,0,25.0,0,Rehabilitation & Resettlement
Highways,Government/Barren,240.01,89,192,Survey & Demarcation,228,Pending,0,4,0.83,1,1,52.0,1,Approval
Industrial,Agricultural,12.3,20,35,Award & Compensation (Sec 23),21,Approved,1,2,0.77,1,1,29.2,0,Compensation
Highways,Commercial,176.63,549,603,Award & Compensation (Sec 23),20,Pending,1,4,0.64,1,0,70.2,1,Rehabilitation & Resettlement
Energy,Agricultural,52.71,78,175,Preliminary Notification (Sec 11),113,Pending,3,2,0.83,1,1,90.0,1,Legal
Urban Infrastructure,Forest,34.21,14,16,Award & Compensation (Sec 23),63,Approved,0,5,0.75,1,1,28.2,0,Compensation
Energy,Agricultural,69.4,98,215,R&R Implementation,89,Pending,0,4,1.0,1,1,21.4,0,Approval
Highways,Agricultural,187.23,294,597,Physical Possession,29,Approved,0,4,0.59,1,1,27.3,0,Compensation
Irrigation,Commercial,334.08,937,1259,Award & Compensation (Sec 23),25,Approved,2,3,0.95,1,0,37.1,0,Legal
